station,time,train,platform,route,delayedTime,information,timestampScraping
Mannheim,14:49,RNV 4A,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 14:49 - Universität, Mannheim 14:51",14:49,,2021-12-24 14:48:04.184622
Mannheim,14:49,Bus 65,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 14:49 - Schloss, Mannheim 14:52 - Universität West, Mannheim 14:53 - Akademiestraße, Mannheim 14:54 - Teufelsbrücke, Mannheim 14:55 - Popakademie, Mannheim 14:56",,,2021-12-24 14:48:04.186204
Mannheim,14:50,Bus 710,"Hauptbahnhof ZOB (SteigE/F), Mannheim","Hauptbahnhof ZOB (SteigE/F), Mannheim 14:50 - Hochschule, Mannheim 14:55 - Neckarau Bahnhof, Mannheim 14:59 - Neckarau Kabel und Draht, Mannheim 15:00",14:50,,2021-12-24 14:48:04.187905
Mannheim,14:52,STR 3,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 14:52 - Lindenhof MA Hauptbahnhof Süd, Mannheim 14:54",14:52,,2021-12-24 14:48:04.189571
Mannheim,14:53,STR 1,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 14:53 - Tattersall, Mannheim 14:55",,,2021-12-24 14:48:04.191353
Mannheim,14:54,Bus 60,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 14:54 - Kunsthalle, Mannheim 14:56 - Wasserturm, Mannheim 14:57 - Am Friedrichsplatz, Mannheim 14:59",,,2021-12-24 14:48:04.192692
Mannheim,14:54,Bus 63,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 14:54 - Kunsthalle, Mannheim 14:56 - Wasserturm, Mannheim 14:57 - Am Friedrichsplatz, Mannheim 14:59",14:54,Änderung im Fahrtverlauf!,2021-12-24 14:48:04.194100
Mannheim,14:55,RNV 4A,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 14:55 - Kunsthalle, Mannheim 14:57",14:55,,2021-12-24 14:48:04.195420
Mannheim,14:56,S 2,1,Mannheim Hbf 14:56 - Ludwigshafen(Rhein) Mitte 14:58,14:57,,2021-12-24 14:48:04.196632
Mannheim,14:56,S 9,11,Mannheim Hbf 14:56 - Mannheim Handelshafen 14:59,14:56,,2021-12-24 14:48:04.197866
Mannheim,14:56,STR 1,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 14:56 - Universität, Mannheim 14:58",,,2021-12-24 14:48:04.199241
Mannheim,14:56,RNV 5,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 14:56 - Kunsthalle, Mannheim 14:58",,,2021-12-24 14:48:04.200615
Mannheim,14:58,STR 3,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 14:58 - Kunsthalle, Mannheim 15:00",14:58,,2021-12-24 14:48:04.202027
Mannheim,14:58,RNV 5,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 14:58 - Universität, Mannheim 15:00",,,2021-12-24 14:48:04.203572
Mannheim,14:58,RNV 5,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 14:58 - Universität, Mannheim 15:00",14:58,,2021-12-24 14:48:04.205099
Mannheim,14:59,S 3,9,Mannheim Hbf 14:59 - Mannheim ARENA/Maimarkt 15:03,15:00,,2021-12-24 14:48:04.206751
Mannheim,14:59,RNV 4,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 14:59 - Universität, Mannheim 15:01",14:59,,2021-12-24 14:48:04.208488
Mannheim,15:02,STR 3,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:02 - Lindenhof MA Hauptbahnhof Süd, Mannheim 15:04",15:02,,2021-12-24 14:48:04.210129
Mannheim,15:03,STR 1,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:03 - Tattersall, Mannheim 15:05",,,2021-12-24 14:48:04.211679
Mannheim,15:03,Bus 60,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:03 - Universität, Mannheim 15:05 - Schloss, Mannheim 15:07 - Universität West, Mannheim 15:08",15:03,,2021-12-24 14:48:04.213719
Mannheim,15:04,S 3,1,Mannheim Hbf 15:04 - Ludwigshafen(Rhein) Mitte 15:06,15:04,,2021-12-24 14:48:04.215379
